competitor	metric	seed	target_id	sc15	competitor_value	delta
ctpnet	overall	69001	RPS6_pSitePending	0.5317719786485767	0.5054743403833909	0.02629763826518583
ctpnet	overall	69001	STAT3_Y705	0.4559043553195636	0.4138566604453599	0.04204769487420368
ctpnet	overall	69001	MAPK14_pSitePending	0.5437479965998184	0.5140771389193489	0.02967085768046951
ctpnet	overall	69001	CREB1_S133_ATF1_S63	0.3446577078967339	0.3430140795693756	0.0016436283273583152
ctpnet	overall	69001	JUN_pSitePending	0.3203102031299805	0.3167975250925644	0.0035126780374160615
ctpnet	overall	69001	LAT_Y226	0.2831286350484111	0.2440236264691575	0.039105008579253614
ctpnet	overall	69001	LCP2_S376	0.5141625453621724	0.5018122576411642	0.012350287721008213
ctpnet	overall	69001	MAP2K1_S298	0.3829738292139768	0.348059914565913	0.034913914648063815
ctpnet	overall	69001	MAPK14_pSitePending_D3F9	0.6326660410237158	0.5892164848199474	0.04344955620376845
ctpnet	overall	69001	RELA_pSitePending_93H1	0.6093696926127472	0.5603101301369576	0.049059562475789575
ctpnet	overall	69001	p-Rb	0.4905329433206088	0.4537660071749842	0.036766936145624596
ctpnet	overall	69001	HISTONE_H3_S28	0.5956540568918163	0.5733664306109753	0.022287626280841022
ctpnet	overall	69001	NFE2L2_S40	0.8130720299455403	0.7891092016381632	0.02396282830737706
ctpnet	overall	69001	AKT_S473	0.4671299636205994	0.4518235513346669	0.015306412285932491
ctpnet	overall	69001	EIF4EBP1_T37_T46	0.2770420554327883	0.280062345375831	-0.003020289943042709
ctpnet	overall	69001	STAT6_Y641	0.5185178219569258	0.492665817543919	0.025852004413006724
ctpnet	overall	69001	ZAP70_Y493	0.1137227713264807	0.1588722636341699	-0.04514949230768919
ctpnet	overall	69001	LCK_Y505	0.3272081478339154	0.2644445907555416	0.06276355707837378
ctpnet	overall	69001	STAT5A_Y694	0.2528014817133249	0.2466256282385251	0.006175853474799792
ctpnet	overall	69001	PLCG1_Y783	0.2517794200888515	0.252752412707619	-0.0009729926187674875
ctpnet	overall	69002	RPS6_pSitePending	0.5303344056412642	0.4526895181262228	0.0776448875150414
ctpnet	overall	69002	STAT3_Y705	0.4616810453373393	0.4103782621535312	0.0513027831838081
ctpnet	overall	69002	MAPK14_pSitePending	0.5541471022226564	0.5243781475768059	0.0297689546458505
ctpnet	overall	69002	CREB1_S133_ATF1_S63	0.3824240077919946	0.3447121205346621	0.03771188725733249
ctpnet	overall	69002	JUN_pSitePending	0.3216820845265003	0.3449225204656324	-0.023240435939132054
ctpnet	overall	69002	LAT_Y226	0.3026172388137752	0.2668751315542208	0.0357421072595544
ctpnet	overall	69002	LCP2_S376	0.4996264011756332	0.4775047830319662	0.022121618143666977
